parameter,value,evaluated,feasible,infeasible,best_lcoe_cny_per_kwh,best_wind_mw,best_electrolyzer_mw,best_electrolyzer_cf,feasible_share
agsr_max,0.1,420,16,404,0.32670557201839134,110.0,100.0,0.5431718348349603,0.0380952380952381
agsr_max,0.15,420,48,372,0.30142972912946897,140.0,100.0,0.5640859744977448,0.11428571428571428
agsr_max,0.2,420,81,339,0.2858775363477199,130.0,85.0,0.6091987790567628,0.19285714285714287
agsr_max,0.25,420,115,305,0.2686331776723907,190.0,100.0,0.5762002841451124,0.27380952380952384
agsr_max,0.3,420,151,269,0.25438939212317285,180.0,85.0,0.6162620047429846,0.3595238095238095
