ranking,algorithm,runs,best,mean,std,worst,median,feasible_runs,mean_elapsed_s
1,ga,30,0.28100271073989785,0.28394637645846754,0.00197745749117634,0.2881724827769416,0.2836668763385826,30,1.638848746666675
2,pso,30,0.281003694452871,0.283236953180068,0.0014263244132730096,0.28761028709075476,0.283805886478508,30,1.6135703300000386
3,gwo,30,0.281039895493707,0.28305532099838404,0.00159537924803271,0.2879776390794613,0.282960145022496,30,1.5943074866665483
4,random,30,0.2815019223515917,0.2854042966414043,0.0026143758354426347,0.29194728051838037,0.28478817909463783,30,3.7076463533333786
