wind_mw,pv_mw,electrolyzer_mw,n_electrolyzer_units,battery_mw,battery_mwh,battery_duration_h,feasible,agsr,infeasibility_reason,total_wind_mwh,total_pv_mwh,total_renewable_mwh,total_grid_sales_mwh,total_electrolyzer_load_mwh,total_curtailment_mwh,battery_throughput_mwh,electrolyzer_cf,total_h2_kg,npc_cny,annualized_cost_cny,lcoe_cny_per_kwh,lcoh_cny_per_kg,score,algorithm,seed,n_evaluations,elapsed_s
137.50085601431942,62.499143985680575,90.0,18,20.0,20.0,1.0,True,0.1943263927929625,,483951.9697777822,102908.58485356825,586860.5546313504,114042.49465398763,470238.3539570818,0.0,24727.46862984918,0.5948167804557298,8503675.81711728,2485287622.160805,165027351.47410813,0.28244525191336495,19.40659016444631,0.28244525191336495,gwo,42,600,1.5788762000011047
127.66455297836842,72.33544702163158,85.0,17,20.0,20.0,1.0,True,0.19647573618690456,,449367.04031101766,119104.64708847649,568471.6873994941,111690.89328322749,454319.88031752734,0.0,23753.88032897698,0.6084858570630121,8215810.018432442,2406431921.9881,159791198.02768183,0.28231123059928404,19.44923235434911,0.28231123059928404,gwo,43,600,1.5796850999995513
137.58073758053487,62.41926241946513,90.0,18,15.0,30.0,2.0,True,0.19484813544679527,,484043.2744079664,102777.05506914428,586820.3294771106,114340.84704088909,470286.53759628476,0.0,21167.319766580986,0.594877729199915,8504547.158308448,2502760859.934989,166187604.3663041,0.2842624357554546,19.541029201531146,0.2842624357554546,gwo,44,600,1.569691899998361
160.3613641831841,39.638635816815906,100.0,20,20.0,20.0,1.0,True,0.1988845783673084,,556275.5121108232,65267.38859605949,621542.9007068827,123615.2977442822,494902.1535156587,0.0,29029.990733529303,0.5634131984467882,8949689.958880885,2648177299.8000026,175843504.84145817,0.2842983726380865,19.64799961220629,0.2842983726380865,gwo,45,600,1.5756822000003012
157.58890753450692,42.411092465493084,100.0,20,15.0,30.0,2.0,True,0.19847109596636192,,553592.7950718289,69832.40456409584,623425.1996359248,123731.88262478996,497313.8102239956,0.0,22968.102130455576,0.5661587092713976,8993301.771182662,2661017334.3693414,176696105.1115113,0.28451385646198163,19.647523190837497,0.28451385646198163,gwo,46,600,1.5933982000005926
152.6076438736092,47.39235612639081,95.0,19,25.0,25.0,1.0,True,0.19858702798076772,,536228.9373657312,78034.35360587691,614263.2909716081,121984.7213517372,488818.88141393714,0.0,33178.20213690279,0.5857766290551447,8839681.548411934,2588471250.208808,171878920.96667513,0.2813980143345911,19.44401730145511,0.2813980143345911,gwo,47,600,1.6630093000003399
162.672411650516,37.32758834948399,100.0,20,25.0,25.0,1.0,True,0.19859120616907727,,571071.9854110819,61462.11048781789,632534.0958988998,125615.70904762931,503070.2961603861,0.0,36927.24290042692,0.5727120857927893,9097400.66026079,2667698057.6942663,177139716.57378748,0.2817618256273681,19.47146478307459,0.2817618256273681,gwo,48,600,1.67493579999973
142.5830575880749,57.416942411925106,100.0,20,5.0,10.0,2.0,True,0.19821422712811312,,501430.9712065835,94540.4354911453,595971.4066977288,118130.0117690447,477464.7462610201,0.0,3592.844555584974,0.5435618696049864,8634356.134796366,2583035415.900122,171517972.26560104,0.2879776390794613,19.864593212038752,0.2879776390794613,gwo,49,600,1.6001978000003874
157.81226249388737,42.187737506112626,100.0,20,20.0,20.0,1.0,True,0.19662206992993578,,553844.6870100646,69464.63724243245,623309.324252497,122556.3695411555,497804.5455017474,0.0,28286.36266357913,0.5667173787588199,9002176.108375508,2644036659.6561866,175568559.2495483,0.2830103492857965,19.502902091217873,0.2830103492857965,gwo,50,600,1.5846824000000197
158.2921814436462,41.7078185563538,100.0,20,20.0,20.0,1.0,True,0.19702758331639153,,554383.6997516725,68674.42194003715,623058.1216917096,122759.63598256774,497332.7687585073,0.0,28453.425000198375,0.5661802923024901,8993644.612701435,2644816217.28525,175620323.21026602,0.2832163752813547,19.52715842943617,0.2832163752813547,gwo,51,600,1.580209300000206
152.5499213333063,47.45007866669371,95.0,19,25.0,25.0,1.0,True,0.19853771927693434,,536163.5954501083,78129.39722660372,614292.992676712,121960.32973383693,488872.3435371473,0.0,33184.29476980181,0.5858406954476407,8840648.344421763,2588377488.446151,171872695.02516925,0.28137442960409753,19.441186701382236,0.28137442960409753,gwo,52,600,1.5853851000010764
152.61865173978254,47.381348260217464,95.0,19,25.0,25.0,1.0,True,0.19864283015640022,,536241.3982702394,78016.22849474872,614257.6267649881,122017.873425751,488780.1855050477,0.0,33177.0402530487,0.5857302577713638,8838981.781024022,2588489130.865655,171880108.27289104,0.2814025122702043,19.445690977878474,0.2814025122702043,gwo,53,600,1.5849779000000126
142.70165321463074,57.29834678536926,90.0,18,20.0,40.0,2.0,True,0.19715551034269313,,501565.2214558447,94345.16068703789,595910.3821428826,117487.0155098893,475283.1139832913,0.0,30138.124444325917,0.6011980292239568,8594904.028251143,2537882595.9314985,168519747.74439627,0.2842919023070223,19.606937691273558,0.2842919023070223,gwo,54,600,1.594027000001006
