iteration,best_score,n_evaluations,wind_mw,pv_mw,electrolyzer_mw,n_electrolyzer_units,battery_mw,battery_mwh,battery_duration_h,feasible,agsr,electrolyzer_cf,lcoe_cny_per_kwh,lcoh_cny_per_kg,a,algorithm,seed
16,0.2844275160829293,320,137.9556522197109,62.04434778028909,90.0,18,15.0,30.0,2.0,True,0.19518968185261423,0.5944224663716499,0.2844275160829293,19.560754035644248,0.9655172413793103,gwo,44
17,0.2844275160829293,340,137.9556522197109,62.04434778028909,90.0,18,15.0,30.0,2.0,True,0.19518968185261423,0.5944224663716499,0.2844275160829293,19.560754035644248,0.896551724137931,gwo,44
18,0.2844275160829293,360,137.9556522197109,62.04434778028909,90.0,18,15.0,30.0,2.0,True,0.19518968185261423,0.5944224663716499,0.2844275160829293,19.560754035644248,0.8275862068965518,gwo,44
19,0.2844275160829293,380,137.9556522197109,62.04434778028909,90.0,18,15.0,30.0,2.0,True,0.19518968185261423,0.5944224663716499,0.2844275160829293,19.560754035644248,0.7586206896551724,gwo,44
20,0.2844275160829293,400,137.9556522197109,62.04434778028909,90.0,18,15.0,30.0,2.0,True,0.19518968185261423,0.5944224663716499,0.2844275160829293,19.560754035644248,0.6896551724137931,gwo,44
21,0.2844275160829293,420,137.9556522197109,62.04434778028909,90.0,18,15.0,30.0,2.0,True,0.19518968185261423,0.5944224663716499,0.2844275160829293,19.560754035644248,0.6206896551724137,gwo,44
22,0.2844275160829293,440,137.9556522197109,62.04434778028909,90.0,18,15.0,30.0,2.0,True,0.19518968185261423,0.5944224663716499,0.2844275160829293,19.560754035644248,0.5517241379310345,gwo,44
23,0.2844275160829293,460,137.9556522197109,62.04434778028909,90.0,18,15.0,30.0,2.0,True,0.19518968185261423,0.5944224663716499,0.2844275160829293,19.560754035644248,0.48275862068965525,gwo,44
24,0.2843266935741636,480,137.7240617635803,62.275938236419705,90.0,18,15.0,30.0,2.0,True,0.19493562160136887,0.5947326187571683,0.2843266935741636,19.547615238100263,0.4137931034482758,gwo,44
25,0.2843266935741636,500,137.7240617635803,62.275938236419705,90.0,18,15.0,30.0,2.0,True,0.19493562160136887,0.5947326187571683,0.2843266935741636,19.547615238100263,0.3448275862068966,gwo,44
26,0.2843266935741636,520,137.7240617635803,62.275938236419705,90.0,18,15.0,30.0,2.0,True,0.19493562160136887,0.5947326187571683,0.2843266935741636,19.547615238100263,0.27586206896551735,gwo,44
27,0.28427399809712633,540,137.60703497473423,62.39296502526577,90.0,18,15.0,30.0,2.0,True,0.194844463398489,0.5948663320475664,0.28427399809712633,19.54173711747416,0.2068965517241379,gwo,44
28,0.28427399809712633,560,137.60703497473423,62.39296502526577,90.0,18,15.0,30.0,2.0,True,0.194844463398489,0.5948663320475664,0.28427399809712633,19.54173711747416,0.13793103448275867,gwo,44
29,0.28427399809712633,580,137.60703497473423,62.39296502526577,90.0,18,15.0,30.0,2.0,True,0.194844463398489,0.5948663320475664,0.28427399809712633,19.54173711747416,0.06896551724137945,gwo,44
30,0.2842624357554546,600,137.58073758053487,62.41926241946513,90.0,18,15.0,30.0,2.0,True,0.19484813544679527,0.594877729199915,0.2842624357554546,19.541029201531146,0.0,gwo,44
1,0.2867705715421119,20,141.4305849440772,58.5694150559228,90.0,18,15.0,30.0,2.0,True,0.1967313396465253,0.5897497227795035,0.2867705715421119,19.760193483929474,2.0,gwo,45
2,0.2867705715421119,40,141.4305849440772,58.5694150559228,90.0,18,15.0,30.0,2.0,True,0.1967313396465253,0.5897497227795035,0.2867705715421119,19.760193483929474,1.9310344827586208,gwo,45
3,0.2867705715421119,60,141.4305849440772,58.5694150559228,90.0,18,15.0,30.0,2.0,True,0.1967313396465253,0.5897497227795035,0.2867705715421119,19.760193483929474,1.8620689655172413,gwo,45
4,0.2867705715421119,80,141.4305849440772,58.5694150559228,90.0,18,15.0,30.0,2.0,True,0.1967313396465253,0.5897497227795035,0.2867705715421119,19.760193483929474,1.793103448275862,gwo,45
5,0.2848285214039536,100,163.0026492849708,36.9973507150292,100.0,20,20.0,40.0,2.0,True,0.19683981999187133,0.5739804601096047,0.2848285214039536,19.63903265476426,1.7241379310344827,gwo,45
6,0.2848285214039536,120,163.0026492849708,36.9973507150292,100.0,20,20.0,40.0,2.0,True,0.19683981999187133,0.5739804601096047,0.2848285214039536,19.63903265476426,1.6551724137931034,gwo,45
7,0.2842983726380865,140,160.3613641831841,39.638635816815906,100.0,20,20.0,20.0,1.0,True,0.1988845783673084,0.5634131984467882,0.2842983726380865,19.64799961220629,1.5862068965517242,gwo,45
8,0.2842983726380865,160,160.3613641831841,39.638635816815906,100.0,20,20.0,20.0,1.0,True,0.1988845783673084,0.5634131984467882,0.2842983726380865,19.64799961220629,1.5172413793103448,gwo,45
9,0.2842983726380865,180,160.3613641831841,39.638635816815906,100.0,20,20.0,20.0,1.0,True,0.1988845783673084,0.5634131984467882,0.2842983726380865,19.64799961220629,1.4482758620689655,gwo,45
10,0.2842983726380865,200,160.3613641831841,39.638635816815906,100.0,20,20.0,20.0,1.0,True,0.1988845783673084,0.5634131984467882,0.2842983726380865,19.64799961220629,1.3793103448275863,gwo,45
11,0.2842983726380865,220,160.3613641831841,39.638635816815906,100.0,20,20.0,20.0,1.0,True,0.1988845783673084,0.5634131984467882,0.2842983726380865,19.64799961220629,1.3103448275862069,gwo,45
12,0.2842983726380865,240,160.3613641831841,39.638635816815906,100.0,20,20.0,20.0,1.0,True,0.1988845783673084,0.5634131984467882,0.2842983726380865,19.64799961220629,1.2413793103448276,gwo,45
13,0.2842983726380865,260,160.3613641831841,39.638635816815906,100.0,20,20.0,20.0,1.0,True,0.1988845783673084,0.5634131984467882,0.2842983726380865,19.64799961220629,1.1724137931034484,gwo,45
14,0.2842983726380865,280,160.3613641831841,39.638635816815906,100.0,20,20.0,20.0,1.0,True,0.1988845783673084,0.5634131984467882,0.2842983726380865,19.64799961220629,1.103448275862069,gwo,45
15,0.2842983726380865,300,160.3613641831841,39.638635816815906,100.0,20,20.0,20.0,1.0,True,0.1988845783673084,0.5634131984467882,0.2842983726380865,19.64799961220629,1.0344827586206897,gwo,45
16,0.2842983726380865,320,160.3613641831841,39.638635816815906,100.0,20,20.0,20.0,1.0,True,0.1988845783673084,0.5634131984467882,0.2842983726380865,19.64799961220629,0.9655172413793103,gwo,45
17,0.2842983726380865,340,160.3613641831841,39.638635816815906,100.0,20,20.0,20.0,1.0,True,0.1988845783673084,0.5634131984467882,0.2842983726380865,19.64799961220629,0.896551724137931,gwo,45
18,0.2842983726380865,360,160.3613641831841,39.638635816815906,100.0,20,20.0,20.0,1.0,True,0.1988845783673084,0.5634131984467882,0.2842983726380865,19.64799961220629,0.8275862068965518,gwo,45
19,0.2842983726380865,380,160.3613641831841,39.638635816815906,100.0,20,20.0,20.0,1.0,True,0.1988845783673084,0.5634131984467882,0.2842983726380865,19.64799961220629,0.7586206896551724,gwo,45
20,0.2842983726380865,400,160.3613641831841,39.638635816815906,100.0,20,20.0,20.0,1.0,True,0.1988845783673084,0.5634131984467882,0.2842983726380865,19.64799961220629,0.6896551724137931,gwo,45
21,0.2842983726380865,420,160.3613641831841,39.638635816815906,100.0,20,20.0,20.0,1.0,True,0.1988845783673084,0.5634131984467882,0.2842983726380865,19.64799961220629,0.6206896551724137,gwo,45
22,0.2842983726380865,440,160.3613641831841,39.638635816815906,100.0,20,20.0,20.0,1.0,True,0.1988845783673084,0.5634131984467882,0.2842983726380865,19.64799961220629,0.5517241379310345,gwo,45
23,0.2842983726380865,460,160.3613641831841,39.638635816815906,100.0,20,20.0,20.0,1.0,True,0.1988845783673084,0.5634131984467882,0.2842983726380865,19.64799961220629,0.48275862068965525,gwo,45
24,0.2842983726380865,480,160.3613641831841,39.638635816815906,100.0,20,20.0,20.0,1.0,True,0.1988845783673084,0.5634131984467882,0.2842983726380865,19.64799961220629,0.4137931034482758,gwo,45
25,0.2842983726380865,500,160.3613641831841,39.638635816815906,100.0,20,20.0,20.0,1.0,True,0.1988845783673084,0.5634131984467882,0.2842983726380865,19.64799961220629,0.3448275862068966,gwo,45
26,0.2842983726380865,520,160.3613641831841,39.638635816815906,100.0,20,20.0,20.0,1.0,True,0.1988845783673084,0.5634131984467882,0.2842983726380865,19.64799961220629,0.27586206896551735,gwo,45
27,0.2842983726380865,540,160.3613641831841,39.638635816815906,100.0,20,20.0,20.0,1.0,True,0.1988845783673084,0.5634131984467882,0.2842983726380865,19.64799961220629,0.2068965517241379,gwo,45
28,0.2842983726380865,560,160.3613641831841,39.638635816815906,100.0,20,20.0,20.0,1.0,True,0.1988845783673084,0.5634131984467882,0.2842983726380865,19.64799961220629,0.13793103448275867,gwo,45
29,0.2842983726380865,580,160.3613641831841,39.638635816815906,100.0,20,20.0,20.0,1.0,True,0.1988845783673084,0.5634131984467882,0.2842983726380865,19.64799961220629,0.06896551724137945,gwo,45
30,0.2842983726380865,600,160.3613641831841,39.638635816815906,100.0,20,20.0,20.0,1.0,True,0.1988845783673084,0.5634131984467882,0.2842983726380865,19.64799961220629,0.0,gwo,45
1,0.3187433491981319,20,124.39040731716477,75.60959268283523,100.0,20,25.0,50.0,2.0,True,0.11592506445904652,0.5573219199787606,0.3187433491981319,19.956658274259244,2.0,gwo,46
2,0.29699140802928675,40,131.45200553686342,68.54799446313658,85.0,17,30.0,60.0,2.0,True,0.18548276884610043,0.6114005045858957,0.29699140802928675,20.192301588214576,1.9310344827586208,gwo,46
3,0.29699140802928675,60,131.45200553686342,68.54799446313658,85.0,17,30.0,60.0,2.0,True,0.18548276884610043,0.6114005045858957,0.29699140802928675,20.192301588214576,1.8620689655172413,gwo,46
4,0.29156950054289504,80,153.0976163747474,46.90238362525261,100.0,20,20.0,40.0,2.0,True,0.17712248077024326,0.5711579605436246,0.29156950054289504,19.61832842930799,1.793103448275862,gwo,46
5,0.29156950054289504,100,153.0976163747474,46.90238362525261,100.0,20,20.0,40.0,2.0,True,0.17712248077024326,0.5711579605436246,0.29156950054289504,19.61832842930799,1.7241379310344827,gwo,46
6,0.29156950054289504,120,153.0976163747474,46.90238362525261,100.0,20,20.0,40.0,2.0,True,0.17712248077024326,0.5711579605436246,0.29156950054289504,19.61832842930799,1.6551724137931034,gwo,46
7,0.29156950054289504,140,153.0976163747474,46.90238362525261,100.0,20,20.0,40.0,2.0,True,0.17712248077024326,0.5711579605436246,0.29156950054289504,19.61832842930799,1.5862068965517242,gwo,46
8,0.29156950054289504,160,153.0976163747474,46.90238362525261,100.0,20,20.0,40.0,2.0,True,0.17712248077024326,0.5711579605436246,0.29156950054289504,19.61832842930799,1.5172413793103448,gwo,46
9,0.2889043268416647,180,159.76009657496135,40.23990342503865,100.0,20,20.0,40.0,2.0,True,0.18890235975142386,0.570390102098493,0.2889043268416647,19.724051269865384,1.4482758620689655,gwo,46
10,0.28529323129964196,200,164.10156270875675,35.898437291243255,100.0,20,20.0,40.0,2.0,True,0.19775262305943372,0.5727617799808581,0.28529323129964196,19.693846844851894,1.3793103448275863,gwo,46
11,0.28529323129964196,220,164.10156270875675,35.898437291243255,100.0,20,20.0,40.0,2.0,True,0.19775262305943372,0.5727617799808581,0.28529323129964196,19.693846844851894,1.3103448275862069,gwo,46
12,0.28529323129964196,240,164.10156270875675,35.898437291243255,100.0,20,20.0,40.0,2.0,True,0.19775262305943372,0.5727617799808581,0.28529323129964196,19.693846844851894,1.2413793103448276,gwo,46
13,0.28529323129964196,260,164.10156270875675,35.898437291243255,100.0,20,20.0,40.0,2.0,True,0.19775262305943372,0.5727617799808581,0.28529323129964196,19.693846844851894,1.1724137931034484,gwo,46
14,0.28529323129964196,280,164.10156270875675,35.898437291243255,100.0,20,20.0,40.0,2.0,True,0.19775262305943372,0.5727617799808581,0.28529323129964196,19.693846844851894,1.103448275862069,gwo,46
15,0.28529323129964196,300,164.10156270875675,35.898437291243255,100.0,20,20.0,40.0,2.0,True,0.19775262305943372,0.5727617799808581,0.28529323129964196,19.693846844851894,1.0344827586206897,gwo,46
16,0.28507173411224707,320,158.89696754820477,41.10303245179523,100.0,20,15.0,30.0,2.0,True,0.19993648840454983,0.5644550369761901,0.28507173411224707,19.722559901798363,0.9655172413793103,gwo,46
17,0.2850046309347836,340,163.41126180811685,36.58873819188315,100.0,20,20.0,40.0,2.0,True,0.19716103588650777,0.5735311664696694,0.2850046309347836,19.65925514436732,0.896551724137931,gwo,46
18,0.2850046309347836,360,163.41126180811685,36.58873819188315,100.0,20,20.0,40.0,2.0,True,0.19716103588650777,0.5735311664696694,0.2850046309347836,19.65925514436732,0.8275862068965518,gwo,46
19,0.2850046309347836,380,163.41126180811685,36.58873819188315,100.0,20,20.0,40.0,2.0,True,0.19716103588650777,0.5735311664696694,0.2850046309347836,19.65925514436732,0.7586206896551724,gwo,46
